Jun. 14 ,06/14/17, 102° / 57° ,  0.00 in ,  25% / 3%  ,  29.89 / 29.79 ,  S 13 MPH   ,  23° / 5°
Jun. 15 ,06/15/17, 107° / 61° ,  0.00 in ,  20% / 3%  ,  29.92 / 29.80 ,  WSW 13 MPH ,  23° / 9°
Jun. 16 ,06/16/17, 109° / 69° ,  0.00 in ,  16% / 3%  ,  29.91 / 29.77 ,  WSW 15 MPH ,  27° / 12°
Jun. 17 ,06/17/17, 109° / 71° ,  0.00 in ,  18% / 5%  ,  29.88 / 29.71 ,  W 17 MPH   ,  31° / 21°
Jun. 18 ,06/18/17, 111° / 74° ,  0.00 in ,  21% / 6%  ,  29.82 / 29.66 ,  NW 18 MPH  ,  37° / 24°
Jun. 19 ,06/19/17, 116° / 76° ,  0.00 in ,  24% / 7%  ,  29.83 / 29.67 ,  WSW 15 MPH ,  39° / 27°
Jun. 20 ,06/20/17, 120° / 80° ,  0.00 in ,  23% / 6%  ,  29.84 / 29.67 ,  S 16 MPH   ,  45° / 33°
Jun. 21 ,06/21/17, 117° / 81° ,  0.00 in ,  29% / 7%  ,  29.78 / 29.60 ,  WSW 15 MPH ,  47° / 33°
Jun. 22 ,06/22/17, 111° / 84° ,  0.00 in ,  29% / 10% ,  29.81 / 29.67 ,  W 17 MPH   ,  58° / 39°
Jun. 23 ,06/23/17, 111° / 80° ,  0.00 in ,  42% / 11% ,  29.86 / 29.71 ,  SW 16 MPH  ,  58° / 41°
Jun. 24 ,06/24/17, 115° / 78° ,  0.00 in ,  32% / 8%  ,  29.84 / 29.69 ,  W 14 MPH   ,  49° / 36°
Jun. 25 ,06/25/17, 115° / 91° ,  0.00 in ,  25% / 10% ,  29.92 / 29.77 ,  SE 19 MPH  ,  54° / 39°
Jun. 26 ,06/26/17, 111° / 87° ,  0.00 in ,  29% / 11% ,  29.99 / 29.78 ,  WSW 16 MPH ,  56° / 36°
Jun. 27 ,06/27/17, 109° / 82° ,  0.00 in ,  30% / 5%  ,  29.90 / 29.72 ,  S 19 MPH   ,  53° / 22°
Jun. 28 ,06/28/17, 108° / 75° ,  0.00 in ,  29% / 9%  ,  29.88 / 29.71 ,  W 15 MPH   ,  53° / 30°
Jun. 29 ,06/29/17, 107° / 76° ,  0.00 in ,  31% / 8%  ,  29.90 / 29.75 ,  SW 15 MPH  ,  49° / 30°
Jun. 30 ,06/30/17, 108° / 77° ,  0.00 in ,  25% / 5%  ,  29.91 / 29.73 ,  ESE 13 MPH ,  42° / 19°
Jul. 1  ,07/01/17, 111° / 74° ,  0.00 in ,  15% / 4%  ,  29.88 / 29.76 ,  SW 16 MPH  ,  35° / 17°
Jul. 2  ,07/02/17, 109° / 76° ,  0.00 in ,  26% / 10% ,  30.03 / 29.86 ,  SSW 16 MPH ,  52° / 22°
Jul. 3  ,07/03/17, 106° / 80° ,  0.00 in ,  45% / 15% ,  30.06 / 29.85 ,  NW 16 MPH  ,  59° / 46°
Jul. 4  ,07/04/17, 110° / 78° ,  0.00 in ,  40% / 10% ,  29.99 / 29.79 ,  W 16 MPH   ,  56° / 39°
Jul. 5  ,07/05/17, 111° / 81° ,  0.00 in ,  32% / 11% ,  30.00 / 29.81 ,  NW 16 MPH  ,  55° / 40°
Jul. 6  ,07/06/17, 111° / 85° ,  0.00 in ,  34% / 12% ,  30.05 / 29.81 ,  ESE 13 MPH ,  59° / 44°
Jul. 7  ,07/07/17, 118° / 85° ,  0.00 in ,  30% / 9%  ,  29.93 / 29.75 ,  ESE 42 MPH ,  53° / 39°
Jul. 8  ,07/08/17, 111° / 90° ,  0.00 in ,  28% / 14% ,  29.96 / 29.78 ,  N 23 MPH   ,  55° / 45°
